timestamp_unix,goal_id,path_execution_time_sec,navigation_accuracy_m,obstacle_avoidance_efficiency_ratio,recovery_frequency_per_sec,battery_consumption_units
1775017565.9127297,da5883d758dbfbf42ad5a5671a9fe60f,47.90669512748718,5.863516330718994,inf,0.0626217273392901,0.15306365898133734
1775017580.324708,e0aaf4ae6460fe8708c301f32b94a603,14.413434028625488,0.027525927871465683,0.2672411786763706,0.06937971881051883,0.07834865077047459
1775017840.9857924,8a25908aa9f5ac7cc634da79080eacc7,22.664839267730713,0.06403393298387527,inf,0.0,0.1571014086350913
1775017840.9857924,8a25908aa9f5ac7cc634da79080eacc7,22.664839267730713,0.06403393298387527,inf,0.0,0.1571014086350913
1775017879.7318935,8b9892aad992bacc6a5d6f4302cdbfda,11.571154832839966,0.02395576797425747,18.961234479077955,0.0,0.06070812089624115
1775017879.7318935,8b9892aad992bacc6a5d6f4302cdbfda,11.571154832839966,0.02395576797425747,18.961234479077955,0.0,0.06070812089624115
1775017931.7712498,63e46b83239392ad10d426943e1b6bbb,34.788814067840576,0.03881843015551567,inf,0.028744871786946555,0.2216482388892974
1775017931.7712498,63e46b83239392ad10d426943e1b6bbb,34.788814067840576,0.03881843015551567,inf,0.028744871786946555,0.2216482388892974
1775017980.3714373,be1a8c9698302107f6e7fc0426b2e098,23.970092296600342,0.03389575704932213,86.60794289818081,0.0,0.16809921911529607
1775017980.3714373,be1a8c9698302107f6e7fc0426b2e098,23.970092296600342,0.03389575704932213,86.60794289818081,0.0,0.16809921911529607
1775018014.9132493,5387fd283a2dcef7c671d6b0fd9ce356,27.89810609817505,0.09438303112983704,90.97275749456685,0.03584472711089929,0.15417952430713686
1775018014.9132493,5387fd283a2dcef7c671d6b0fd9ce356,27.89810609817505,0.09438303112983704,90.97275749456685,0.03584472711089929,0.15417952430713686
1775018047.1799006,34aef5cdcf539fbdd79bfd3237e05d23,21.787497997283936,0.03691122308373451,17.236255908260603,0.045897881442130785,0.08134050389755991
1775018047.1799006,34aef5cdcf539fbdd79bfd3237e05d23,21.787497997283936,0.03691122308373451,17.236255908260603,0.045897881442130785,0.08134050389755991
